BERTopic,top2vec,LDA,NMF
"['imeti', 'slovenija', 'vlada', 'iti', 'slovenski', 'človek', 'nov', 'čas', 'država', 'vedeti']","['zakonodaja', 'nasvet', 'spregledati', 'preziveti', 'prebivalstvo', 'zacetek', 'domov', 'desus', 'pozivati', 'rast']","['imeti', 'Slovenija', 'vlada', 'iti', 'slovenski', 'človek', 'čas', 'vedeti', 'predsednik', 'Janša']","['iti', 'RTV', 'priti', 'reči', 'spati', 'denar', 'dati', 'minister', 'Rtv', 'maska']"
"['koronavirus', 'okužba', 'nov', 'italija', 'okužen', 'slovenija', 'test', 'epidemija', 'testiranje', 'covid']","['beovic', 'cca', 'dvakrat', 'postajati', 'zacetek', 'milan', 'faktor', 'polovica', 'obvestilo', 'posten']","['nov', 'covid', 'ukrep', 'svet', 'epidemija', 'koronavirus', 'mesto', 'zakon', 'okužba', 'virus']","['nov', 'okužba', 'koronavirus', 'mesto', 'covid', 'Ljubljana', 'demokracija', 'okužen', 'gasilec', 'star']"
"['zdravnik', 'zdravstven', 'zdravstvo', 'dr', 'zdravje', 'bolnišnica', 'bolnik', 'medicinski', 'covid', 'pacient']","['zgaga', 'unicevati', 'bozicen', 'masa', 'nebo', 'ustava', 'storitev', 'zacasen', 'placevati', 'moder']","['minister', 'zdravje', 'vladen', 'poziv', 'sprememba', 'zunanji', 'sramota', 'preiskava', 'varnost', 'sklad']","['čas', 'covid', 'epidemija', 'minister', 'delo', 'koronavirus', 'večen', 'dr.', 'virus', 'kriza']"
"['sodišče', 'sodnik', 'ustaven', 'pravnik', 'tožilstvo', 'sodnica', 'sodstvo', 'sodba', 'vrhoven', 'zapor']","['spomenka', 'ogrozati', 'vreci', 'dnevno', 'slucajno', 'tomic', 'jasa', 'navodilo', 'nemogoc', 'letnik']","['državen', 'evropski', 'sodišče', 'občina', 'narod', 'oseba', 'ustaven', 'zdravstvo', 'kultura', 'podpirati']","['slovenski', 'vojska', 'narod', 'medij', 'politika', 'Slovenec', 'državen', 'meja', 'policija', 'javen']"
"['protest', 'protestnik', 'smrt', 'protestirati', 'petkov', 'ljubljana', 'grožnja', 'novica', 'janšizem', 'umor']","['pogasiti', 'eksplozija', 'prihod', 'pgd', 'vozilo', 'nesreca', 'prometen', 'pozar', 'smer', 'odpeljati']","['potrebovati', 'zgoditi', 'pot', 'znati', 'naslednji', 'cesta', 'nesreča', 'spleten', 'oseben', 'plačati']","['vedeti', 'ukrep', 'Janša', 'stranka', 'medij', 'minister', 'političen', 'maska', 'Janez', 'svet']"
"['tekma', 'šport', 'zmaga', 'prvak', 'olimpija', 'liga', 'športen', 'prvenstvo', 'nogomet', 'slovenski']","['strokovnjak', 'dosti', 'neumnost', 'prebivalstvo', 'dunaj', 'ubiti', 'zlatko', 'gobec', 'primorski', 'morje']","['prebrati', 'zmaga', 'knjiga', 'Janšev', 'odgovor', 'prejeti', 'vodja', 'nemški', 'cerkev', 'upokojenec']","['Slovenija', 'RTV', 'republika', 'svet', 'koronavirus', 'predsednik', 'vojna', 'evropski', 'samostojen', 'Slovenec']"
"['maska', 'zaščiten', 'nositi', 'oprema', 'nošenje', 'imeti', 'človek', 'nos', 'obraz', 'obvezen']","['zacetek', 'ogrozati', 'presernov', 'revizija', 'kos', 'spominjati', 'obvestilo', 'ozadje', 'bistveno', 'telefonski']","['maska', 'hvala', 'via', 'živeti', 'zveza', 'hiša', 'oprema', 'zaščiten', 'poslušati', 'poslati']","['človek', 'delati', 'maska', 'umreti', 'življenje', 'videti', 'dati', 'razumeti', 'zdravje', 'virus']"
"['otrok', 'zastava', 'starš', 'družina', 'mama', 'mati', 'oče', 'imeti', 'mlad', 'vzgojitelj']","['spodaj', 'matej', 'alenka', 'generacija', 'nacelo', 'poklic', 'aja', 'kolumna', 'dusa', 'ponuditi']","['otrok', 'star', 'življenje', 'šola', 'dom', 'mlad', 'novica', 'umreti', 'mogoč', 'pozabiti']","['imeti', 'pravica', 'težava', 'zato', 'delati', 'pojem', 'povedati', 'denar', 'reči', 'glas']"
"['komunist', 'komunističen', 'komunizem', 'imeti', 'narod', 'totalitarizem', 'slovenec', 'človek', 'partija', 'naslednik']","['rast', 'negativen', 'posel', 'dvakrat', 'napacen', 'spregledati', 'izziv', 'sum', 'uciti', 'zaupanje']","['država', 'delati', 'dobiti', 'priti', 'videti', 'konec', 'misliti', 'vojna', 'pisati', 'levičar']","['država', 'globok', 'praven', 'predsednik', 'svet', 'evropski', 'dobiti', 'državen', 'demokracija', 'živeti']"
"['vlada', 'tehničen', 'pomoč', 'oseba', 'gasilec', 'prijava', 'reševalec', 'imeti', 'obolel', 'helikopter']","['negativen', 'svetovati', 'napacen', 'dnevno', 'zaupanje', 'mojca', 'intenziven', 'hribar', 'pameten', 'nacrt']","['delo', 'pomoč', 'pravica', 'koalicija', 'laž', 'tehničen', 'ženska', 'čestitka', 'iskati', 'zadeva']","['vlada', 'predsednik', 'Janšev', 'lev', 'prejšnji', 'minister', 'Janez', 'Šarec', 'Janša', 'ukrep']"